0|000404|20160930|0.3237|20161021|20150819||20160519|20161110|5.50|
0|000407|20160930|0.0230|20161028|20161222|20161222|20160523|||
0|000408|20160930|0.3216|20161031|20170109||20151126|20160512|-260.00|20160613
0|000409|20160930|0.0043|20161031|20161031|20161223|20160314|20161024|-116.31|20170116
0|000410|20160930|-1.0400|20161031|20160317||20160411|||
0|000411|20160930|0.2876|20161029|20160715|20170111|20161227|20161102|-0.05|
0|000413|20160930|0.2000|20161031|20160913|20161116|20160725|20160930|0.20|
0|000415|20160930|0.2328|20161031|20160811|20160811|20160923|20160122|1837.13|
0|000416|20160930|0.0185|20161029|20161102|20161102|20160930|20170104|-1.76|20160509
0|000417|20160930|0.2958|20161025|20151223||20150708|20160516|220.05|
0|000418|20160930|1.4400|20161025|20160105|||||
0|000419|20160930|0.1529|20161028|20160728|20160802||||
0|000420|20160930|0.0258|20161028|20160226|20161020|20150527|||
0|000421|20160930|0.2253|20161028|20160425||20150813|20161103|-0.20|
0|000422|20160930|0.0200|20161031|20150713||20161114|20161011|-0.43|
0|000423|20160930|1.8745|20161031|20151221|||20160606|168.59|
0|000425|20160930|0.0240|20161031|20150921||20161129|||20150119
0|000426|20160930|0.0811|20161031|20160803|20160808|20160921|||
0|000428|20160930|-0.1200|20161031|20150828|||20160503|1.00|20141230
0|000429|20160930|0.4300|20161028|20150724||20160108|||
0|000430|20160930|0.3007|20161028|20151027||20160318|||
0|000488|20160930|0.7400|20161026|20161128|20161128|20160411|20160518|-0.21|
0|000498|20160930|0.2215|20161026|20160504|20161128|20160620|20160818|-0.02|
0|000501|20160930|1.2900|20161029|20151223|||||
0|000502|20160930|-0.1874|20161027|20160628||20150302|||
0|000503|20160930|-0.0947|20161029|20160314|20161205|20160929|20170103|50.32|20161212
0|000504|20160930|-0.0507|20161031|20161116||20160613|||20160927
0|000505|20160930|-0.2100|20161031|20161117|20161117|20160503|||20170116
0|000506|20160930|0.0070|20161027|20161229|20161229|20161212|20161209|8.38|20150216
0|000507|20160930|0.1064|20161031|20151029||20150708|||20141222
0|000509|20160930|-0.0406|20161031|20160809||20160321|||
0|000510|20160930|0.0296|20161027|20161214|20161215|20160721|20161111|-0.26|20141223
0|000511|20160930|-0.0700|20161029|20170118|20161205|20160426|20161202|-0.03|20170111
0|000513|20160930|1.5700|20161026|20151112||20150811|||
0|000514|20160930|0.0129|20161027|20160226|20170106|20151118|20160331|0.05|
0|000516|20160930|0.0990|20161028|20160707|20161202|20161205|20160728|234.62|
0|000517|20160930|0.0064|20161029|20160203||20160614|20161216|-0.20|20141223
0|000518|20160930|0.0101|20161028|20161025|20161201|20150306|20161026|0.10|
0|000519|20160930|0.0450|20161031|20160711|20161212|20160921|20170109|-1.14|
0|000520|20160930|-0.0032|20161029|20170112|20170116|20161228|||
0|000521|20160930|0.2164|20161018|20160307||20151026|20160830|0.10|
0|000523|20160930|0.0400|20161027|20160204|20160802|20150708|20160726|-1.26|20141231
0|000524|20160930|0.1080|20161031|20170106|20170106|20161215|||20160914
0|000525|20160930|0.0669|20161025|20161214|20161214|20150709|||
0|000526|20160930|-0.3699|20161028|20160328||20161202|20160301|46.00|20160512
0|000528|20160930|0.0056|20161029|20150717|||||20150119
0|000529|20160930|0.1300|20161028|20161115|20161115|20150814|20160727|629.28|
0|000530|20160930|0.2300|20161027|20160222||20150709|20161214|-7.00|
0|000531|20160930|0.6307|20161028|20170109|20170109|20160829|20161208|1358.35|
0|000532|20160930|0.0867|20161028|20161031|20161031|20150709|||20160727
0|000533|20160930|0.0230|20161029|20160908|20170112|20161229|20160215|-500.00|
0|000534|20160930|0.1397|20161031|20161013|20161013|20160711|20161229|-1.88|20160509
0|000536|20160930|0.5252|20161029|20160527|20160811|20150907|||20170116
0|000537|20160930|0.4900|20161027|20160720|20160720|20160413|||
0|000538|20160930|2.2700|20161028|20150709|20161230|20160719|20160530|0.10|
0|000539|20160930|0.2810|20161029|20150902||20150608|20160906|-0.72|
0|000540|20160930|0.4413|20161031|20160302||20161128|||
0|000541|20160930|0.2202|20161027|20151013||20150826|20170103|687.64|
0|000543|20160930|0.4316|20161028|20150525||20150615|||20150119
0|000544|20160930|0.4300|20161028|20151104||20160303|||
0|000545|20160930|0.0490|20161026|20160415||20150518|||
0|000546|20160930|0.3750|20161027|20151125||20160616|||
0|000547|20160930|0.1000|20161028|20160122|20170103|20160419|||20150206
0|000548|20160930|0.1200|20161029|20160406|||||20150119
0|000550|20160930|1.2700|20161027|20160222|||||
0|000551|20160930|0.1500|20161027|20160707||20160607|||
0|000552|20160930|0.0527|20161031|20160202||20150708|||
0|000553|20160930|0.0345|20161027|20170105|20170105|20150805|20161024|0.45|20161212
0|000554|20160930|0.0063|20161028|20170105|20170105||||
